generation, input, state, input_feasible, input_infeasible, state_feasible, state_infeasible
297,1741,1426,1500,,1352,
315,1704,1425,1833,,1649,
314,649,1408,1778,,1425,
315,1759,1445,1482,,1407,
315,1759,1574,1426,,1481,
315,1463,1740,1444,,1556,
315,1741,1425,1870,,1426,
296,1426,1426,1481,,1425,
315,1852,1648,1778,,1426,
296,2018,1426,1944,,1648,
297,1815,1667,1722,,1389,
315,1648,1445,1944,,1574,
315,1482,1537,1648,,1389,
314,1630,1352,1723,,1425,
314,1908,1649,1500,,1426,
315,1593,1425,1666,,1463,
296,1796,1407,1759,,1630,
315,648,1481,1648,,1648,
296,1815,1556,1463,,1630,
315,1166,1426,1852,,1444,
315,630,1425,1500,,1519,
314,1445,1426,1612,,1445,
315,666,1648,1833,,2537,
315,1463,1389,1611,,1648,
315,1833,1574,1611,,1444,
314,1556,1389,1741,,1648,
315,1648,1425,1851,,1648,
315,630,1426,1741,,1463,
314,1481,1463,1778,,7129,
315,1963,1630,1444,,1611,
297,1482,1648,1444,,1463,
315,1666,1630,1704,,1667,
296,1593,1444,1426,,1463,
315,1759,1519,1703,,1648,
315,630,1445,2019,,1463,
314,1130,2537,1444,,1445,
296,1796,1648,1814,,1481,
314,1889,1444,1630,,1574,
296,1815,1648,1833,,1611,
315,1408,1648,1741,,1389,
296,1167,1463,1759,,1648,
315,1426,7129,1519,,1667,
315,1945,1611,1833,,1648,
315,2037,1463,1778,,1760,
315,1482,1667,1778,,1463,
296,1722,1463,1778,,1666,
315,1426,1648,1814,,1648,
297,1630,1463,1463,,1444,
315,1722,1445,1722,,1667,
314,1723,1481,1704,,1426,
296,1592,1574,2037,,1444,
297,2574,1611,1685,,1648,
314,1630,1389,1482,,1574,
296,1463,1648,1722,,1740,
315,1851,1667,1722,,1611,
315,1185,1648,1815,,1463,
315,1463,1760,2000,,1759,
296,648,1463,1741,,1444,
315,1389,1666,1500,,1444,
314,1741,1648,1760,,1389,
315,2463,1444,1462,,1666,
297,648,1667,1797,,1445,
296,1167,1426,1796,,1574,
315,1851,1444,1666,,1426,
296,3222,1648,1426,,1445,
315,1778,1574,1870,,1426,
315,1463,1740,1408,,1685,
314,1574,1611,1740,,1463,
315,1685,1463,1704,,1667,
315,1426,1759,1667,,1426,
296,1759,1444,1722,,1481,
315,2666,1444,1925,,1685,
296,1685,1389,1870,,1629,
296,1778,1666,1741,,1592,
297,1834,1445,1593,,1463,
315,1481,1574,1778,,1426,
315,648,1426,1944,,2463,
296,1463,1445,1759,,1649,
315,1482,1426,1500,,1408,
296,1388,1685,1834,,1649,
296,1777,1463,1648,,1648,
315,1667,1667,1833,,1630,
315,1482,1426,1611,,1445,
315,685,1481,1870,,1389,
314,1797,1685,1462,,3315,
296,1778,1629,1482,,3426,
296,1463,1592,1463,,1444,
315,1592,1463,1815,,1445,
314,1630,1426,1519,,1407,
296,1611,519,1611,,1667,
315,648,2463,1852,,1426,
315,630,1649,1462,,1445,
296,648,1408,1648,,1593,
297,1704,1649,1500,,1667,
314,1667,1648,1611,,1686,
315,1667,1630,1463,,1667,
